City_name,lat,long,max_temp,humidity,cloud,wind_speed,country
bara,10.37,10.73,26.61,70,14,4.76,NG
boa vista,2.82,-60.67,29.0,66,20,2.1,BR
albany,42.6,-73.97,26.11,65,78,2.24,US
hobart,-42.88,147.33,8.33,65,75,6.7,AU
rikitea,-23.12,-134.97,21.42,70,0,9.43,PF
yumen,40.28,97.2,24.02,19,99,2.98,CN
tuatapere,-46.13,167.68,3.89,83,60,1.34,NZ
jamestown,42.1,-79.24,26.0,54,1,4.1,US
bundaberg,-24.85,152.35,19.0,82,1,3.1,AU
kangaatsiaq,68.31,-53.46,5.36,85,0,6.45,GL
xiaoweizhai,26.19,107.51,22.48,92,94,0.67,CN
kutum,14.2,24.67,25.0,57,96,6.01,SD
casper,42.87,-106.31,31.67,10,1,8.2,US
alice springs,-23.7,133.88,13.0,50,50,3.6,AU
saskylakh,71.92,114.08,13.06,59,54,5.93,RU
arraial do cabo,-22.97,-42.03,20.0,77,75,1.0,BR
victoria,22.29,114.16,30.56,79,100,2.24,HK
labuan,5.28,115.24,28.0,88,75,0.5,MY
busselton,-33.65,115.33,8.89,88,0,4.21,AU
derzhavinsk,51.1,66.32,10.63,92,0,4.35,KZ
new norfolk,-42.78,147.06,7.22,91,51,0.45,AU
mataura,-46.19,168.86,3.89,83,28,1.34,NZ
necochea,-38.55,-58.74,7.78,96,90,1.34,AR
cape town,-33.93,18.42,11.11,93,20,1.0,ZA
bluff,-46.6,168.33,3.89,83,29,1.34,NZ
puerto ayora,-0.74,-90.35,21.67,89,57,1.79,EC
vaini,-21.2,-175.2,24.0,57,40,5.7,TO
bonthe,7.53,-12.51,24.39,90,100,2.55,SL
hovd,48.01,91.64,18.77,39,1,2.74,MN
kyren,51.68,102.14,20.15,54,3,0.35,RU
kodiak,57.79,-152.41,18.0,55,1,1.5,US
meulaboh,4.14,96.13,25.33,86,100,2.4,ID
la asuncion,11.03,-63.86,33.0,63,2,7.7,VE
berlevag,70.86,29.09,7.63,84,94,7.15,NO
mar del plata,-38.0,-57.56,9.44,93,90,2.6,AR
qaanaaq,77.48,-69.36,6.08,64,50,1.71,GL
fare,-16.7,-151.02,27.11,79,62,8.78,PF
carnarvon,-24.87,113.63,18.0,48,0,4.6,AU
papetoai,-17.5,-149.87,30.0,66,20,9.8,PF
khunti,23.08,85.28,26.0,88,75,2.97,IN
stornoway,58.21,-6.39,10.56,76,100,4.1,GB
juba,4.85,31.58,20.21,95,86,1.33,SS
danjiangkou,32.54,111.51,25.79,77,29,0.85,CN
provideniya,64.38,-173.3,9.0,81,40,6.0,RU
vanavara,60.34,102.28,21.42,57,48,2.46,RU
kanturk,52.17,-8.9,12.78,81,75,5.1,IE
kiunga,-6.12,141.29,25.28,91,76,1.79,PG
laurel,39.1,-76.85,31.11,42,1,1.7,US
kruisfontein,-34.0,24.73,12.26,78,9,5.56,ZA
barrow,71.29,-156.79,6.0,81,1,9.3,US
nemuro,43.32,145.57,18.0,77,40,2.1,JP
punta arenas,-53.15,-70.92,0.0,94,100,2.6,CL
tigzirt,36.89,4.12,25.43,40,20,2.27,DZ
vanimo,-2.67,141.3,29.18,64,24,3.3,PG
ponta do sol,32.67,-17.1,22.0,73,40,7.7,PT
anadyr,64.75,177.48,15.0,58,15,7.0,RU
bethel,41.37,-73.41,26.0,65,20,6.2,US
port alfred,-33.59,26.89,16.67,73,1,3.13,ZA
batagay,67.63,134.63,19.83,33,9,2.13,RU
kahului,20.89,-156.47,31.0,48,40,9.8,US
yangambi,0.81,24.43,22.46,82,11,0.43,CD
